City,latitude,longitude,Temperature,Humidity,Wind Speed,Cloudiness
huarmey,-18.505929980839866,-93.77775270815924,61.94,73.0,3.78,0.0
namibe,-18.46501384218017,7.378272457530244,64.28,100.0,6.73,0.0
miandrivazo,-18.340024989988038,44.0193277521297,54.11,80.0,2.21,0.0
lima,-18.09265432248857,-87.95414788930191,60.32,77.0,2.21,12.0
vila,-16.93657637994194,171.54270845305234,72.46,69.0,10.29,20.0
belmonte,-16.80098253854331,-31.501673156774018,63.56,73.0,3.78,0.0
tautira,-16.773040217487676,-145.2849667480099,84.2,62.0,18.34,75.0
guiratinga,-16.602276102703826,-54.161910227349196,75.08,66.0,3.33,20.0
mahajanga,-16.16945527300345,45.12075405695114,71.6,88.0,2.24,20.0
senanga,-16.045718451456523,23.600210801005858,58.16,43.0,5.28,0.0
labuhan,-15.986247916234632,96.84530205347704,74.45,88.0,3.04,20.0
caceres,-15.685160850152968,-57.38610527515084,73.19,66.0,1.32,8.0
maroantsetra,-15.546765768778528,49.84181072883777,61.13,100.0,1.48,44.0
kununurra,-15.523520464503676,125.56491562510041,71.6,19.0,8.05,0.0
ilheus,-14.808972998944597,-39.004590499691346,75.35,100.0,6.24,100.0
broome,-14.683671037382084,117.76542121697048,66.2,93.0,3.36,80.0
mpongwe,-13.475332478041722,27.728050745761124,57.35,64.0,4.0,0.0
samarai,-12.875857060874878,151.1208048266165,77.78,100.0,11.16,80.0
hualmay,-12.704827173407025,-80.32732071660541,58.97,95.0,5.01,32.0
hithadhoo,-12.688470488253941,80.57258925419501,79.49,100.0,4.27,68.0
piacabucu,-12.178240644970202,-35.468758392228125,71.93,83.0,6.8,8.0
ambilobe,-12.110372308358635,48.47669018465129,61.31,85.0,6.02,36.0
cobija,-11.878775012255403,-67.57568013758754,72.47,93.0,1.99,0.0
tamandare,-11.824552352136038,-25.745466970628115,76.52,89.0,2.48,0.0
praya,-11.335193092366396,115.64159569123592,80.6,74.0,12.75,75.0
gamba,-8.734019347450072,1.8419393508156077,31.34,89.0,0.58,32.0
soyo,-8.185526800448713,9.323753918279664,64.46,97.0,3.33,0.0
