,Sentiment Points,BBC Compound Sentiment,BBC Positive Sentiment,BBC Negative Sentiment,BBC Neutral Sentiment,CBS Compound Sentiment,CBS Positive Sentiment,CBS Negative Sentiment,CBS Neutral Sentiment,CNN Compound Sentiment,CNN Positive Sentiment,CNN Negative Sentiment,CNN Neutral Sentiment,Fox Compound Sentiment,Fox Positive Sentiment,Fox Negative Sentiment,Fox Neutral Sentiment,@nytimes Compound Sentiment,@nytimes Positive Sentiment,@nytimes Negative Sentiment,@nytimes Neutral Sentiment
33,33,0.0,0.0,0.0,1.0,-0.2748,0.105,0.153,0.742,-0.296,0.0,0.196,0.804,0.4215,0.157,0.0,0.843,0.1027,0.111,0.093,0.796
34,34,0.6486,0.371,0.0,0.629,0.0,0.0,0.0,1.0,0.4767,0.124,0.0,0.876,-0.25,0.203,0.246,0.551,0.0,0.0,0.0,1.0
35,35,0.128,0.252,0.204,0.543,-0.4588,0.0,0.125,0.875,-0.4019,0.0,0.213,0.787,-0.296,0.0,0.423,0.577,-0.4201,0.118,0.245,0.637
36,36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4588,0.214,0.0,0.786,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
37,37,0.6124,0.261,0.0,0.739,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5574,0.419,0.0,0.581,0.0,0.0,0.0,1.0
38,38,0.5994,0.218,0.0,0.782,0.6249,0.204,0.0,0.796,0.4939,0.158,0.0,0.842,0.4199,0.358,0.0,0.642,-0.5994,0.0,0.206,0.794
39,39,0.0,0.0,0.0,1.0,0.1384,0.098,0.079,0.823,0.2263,0.087,0.0,0.913,-0.4019,0.0,0.119,0.881,0.0,0.0,0.0,1.0
40,40,0.5562,0.264,0.0,0.736,0.0,0.0,0.0,1.0,-0.4767,0.0,0.186,0.814,0.6924,0.222,0.0,0.778,-0.2263,0.0,0.095,0.905
41,41,0.5106,0.191,0.0,0.809,0.4588,0.182,0.0,0.818,0.1027,0.072,0.0,0.928,0.0,0.0,0.0,1.0,-0.4404,0.053,0.131,0.816
42,42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.128,0.113,0.092,0.795,0.4926,0.144,0.0,0.856,-0.4588,0.0,0.158,0.842
